Company,TypeName,Inches,Ram,Weight,HD_display,cpu_brand,memory,gpu_brand,operating_system,Price
Apple,Ultrabook,13.3,8,1.37,0,Intel Core i5,128.0,Intel,MacOS,71379.0
Apple,Ultrabook,13.3,8,1.34,0,Intel Core i5,128.0,Intel,MacOS,47896.0
HP,Notebook,15.6,8,1.86,1,Intel Core i5,256.0,Intel,MacOS,30636.0
Apple,Ultrabook,15.4,16,1.83,0,Intel Core i7,512.0,AMD,MacOS,135195.0
Apple,Ultrabook,13.3,8,1.37,0,Intel Core i5,256.0,Intel,MacOS,96096.0
Acer,Notebook,15.6,4,2.1,0,AMD,500.0,AMD,Windows,21312.0
Apple,Ultrabook,15.4,16,2.04,0,Intel Core i7,256.0,Intel,MacOS,114018.0
Apple,Ultrabook,13.3,8,1.34,0,Intel Core i5,256.0,Intel,MacOS,61736.0
Asus,Ultrabook,14.0,16,1.3,1,Intel Core i7,512.0,Nvidia,Windows,79654.0
Acer,Ultrabook,14.0,8,1.6,1,Intel Core i5,256.0,Intel,Windows,41026.0
HP,Notebook,15.6,4,1.86,0,Intel Core i5,500.0,Intel,MacOS,20987.0
HP,Notebook,15.6,4,1.86,1,Intel Core i3,500.0,Intel,MacOS,18381.0
Apple,Ultrabook,15.4,16,1.83,0,Intel Core i7,256.0,AMD,MacOS,130002.0
Dell,Notebook,15.6,4,2.2,1,Intel Core i3,256.0,AMD,Windows,26581.0
Apple,Ultrabook,12.0,8,0.92,0,Other Intel processor,256.0,Intel,MacOS,67261.0
Apple,Ultrabook,13.3,8,1.37,0,Intel Core i5,256.0,Intel,MacOS,80908.0
Dell,Notebook,15.6,8,2.2,1,Intel Core i7,256.0,AMD,Windows,39694.0
Apple,Ultrabook,15.4,16,1.83,0,Intel Core i7,512.0,AMD,MacOS,152274.0
Lenovo,Notebook,15.6,8,2.2,1,Intel Core i3,1000.0,Nvidia,MacOS,26587.0
Dell,Ultrabook,13.3,8,1.22,1,Intel Core i5,128.0,Intel,Windows,52161.0
Asus,Notebook,11.6,2,0.98,0,Other Intel processor,32.0,Intel,Windows,10224.0
Lenovo,Gaming,15.6,8,2.5,1,Intel Core i5,128.0,Nvidia,Windows,53227.0
HP,Notebook,15.6,4,1.86,0,AMD,500.0,AMD,MacOS,13746.0
Dell,2 in 1 Convertible,13.3,8,1.62,1,Intel Core i5,256.0,Intel,Windows,43636.0
HP,Ultrabook,15.6,8,1.91,1,Intel Core i7,256.0,Intel,Windows,35112.0
Dell,Notebook,15.6,4,2.3,0,Intel Core i3,1000.0,Intel,Windows,22305.0
Apple,Ultrabook,13.3,8,1.35,0,Intel Core i5,128.0,Intel,MacOS,58555.0
Dell,Notebook,15.6,8,2.2,1,Intel Core i5,256.0,AMD,Windows,42624.0
Dell,Ultrabook,15.6,8,1.88,1,Intel Core i7,256.0,Intel,Windows,69157.0
HP,Notebook,17.3,8,2.5,1,Intel Core i5,1000.0,Nvidia,Windows,47739.0
Chuwi,Notebook,15.6,4,1.89,1,Other Intel processor,64.0,Intel,Windows,13053.0
Asus,Notebook,14.0,2,1.65,0,AMD,32.0,AMD,Windows,10603.0
HP,Notebook,17.3,4,2.71,1,AMD,500.0,AMD,Windows,23390.0
Dell,Ultrabook,13.3,16,1.2,1,Intel Core i7,512.0,Intel,Windows,99580.0
Apple,Ultrabook,13.3,8,1.35,0,Intel Core i5,256.0,Intel,MacOS,53173.0
Lenovo,Notebook,14.0,4,1.44,0,Other Intel processor,64.0,Intel,Windows,13267.0
Acer,Notebook,15.6,4,2.1,0,Intel Core i3,1000.0,Intel,MacOS,19554.0
Dell,Notebook,17.3,8,2.8,1,Intel Core i5,128.0,AMD,Windows,52161.0
HP,Notebook,15.6,4,1.86,0,Intel Core i5,1000.0,Intel,Windows,26037.0
HP,Notebook,15.6,8,2.1,1,Intel Core i5,256.0,Nvidia,Windows,46833.0
Asus,Notebook,15.6,4,2.0,1,Intel Core i3,1000.0,Intel,MacOS,20726.0
Dell,Gaming,15.6,16,2.65,1,Intel Core i7,256.0,Nvidia,Windows,79867.0
Asus,Notebook,15.6,8,2.3,0,Intel Core i5,1000.0,Nvidia,MacOS,27865.0
Acer,Notebook,15.6,4,2.2,1,Intel Core i5,256.0,Intel,Windows,36337.0
Dell,2 in 1 Convertible,17.3,12,2.77,1,Intel Core i5,1000.0,Nvidia,Windows,53227.0
Apple,Ultrabook,13.3,8,1.37,0,Intel Core i5,256.0,Intel,MacOS,75604.0
Lenovo,Notebook,15.6,4,2.2,0,Intel Core i3,128.0,Intel,MacOS,19660.0
Asus,Gaming,17.3,8,3.2,1,AMD,256.0,AMD,Windows,69211.0
Dell,Notebook,15.6,4,2.3,1,Intel Core i5,256.0,AMD,Windows,34046.0
Asus,Notebook,17.3,4,2.8,0,Other Intel processor,1000.0,Nvidia,Windows,24828.0
Lenovo,2 in 1 Convertible,10.1,4,0.69,0,Other Intel processor,64.0,Intel,MacOS,16996.0
Acer,Notebook,15.6,8,2.2,1,Intel Core i7,256.0,Nvidia,Windows,44808.0
HP,Notebook,15.6,4,1.86,1,AMD,256.0,AMD,Windows,21232.0
HP,Notebook,13.3,8,1.49,1,Intel Core i7,512.0,Intel,Windows,58768.0
Acer,Notebook,15.6,4,2.4,0,Intel Core i3,1000.0,Intel,Windows,20460.0
Dell,Notebook,15.6,8,2.13,1,Intel Core i7,256.0,AMD,Windows,40908.0
HP,Notebook,15.6,4,1.91,1,Intel Core i3,128.0,Intel,Windows,23390.0
Asus,Notebook,15.6,4,2.0,0,Intel Core i5,256.0,Intel,Windows,31232.0
MSI,Gaming,17.3,16,2.43,1,Intel Core i7,256.0,Nvidia,Windows,130483.0
Asus,Notebook,15.6,4,2.0,1,Intel Core i3,256.0,Intel,MacOS,22111.0
Dell,Notebook,17.3,16,2.8,1,Intel Core i7,256.0,AMD,Windows,69211.0
Dell,Ultrabook,14.0,8,1.7,1,Intel Core i5,256.0,Intel,Windows,46833.0
Lenovo,Notebook,14.0,8,1.7,1,Intel Core i3,256.0,Intel,MacOS,31915.0
Asus,Notebook,14.0,8,1.4,1,Intel Core i5,256.0,Intel,Windows,50136.0
HP,Notebook,15.6,8,1.86,1,Intel Core i5,256.0,Intel,Windows,36763.0
Asus,Ultrabook,15.6,16,1.8,1,Intel Core i7,512.0,Nvidia,Windows,105654.0
HP,Notebook,15.6,4,1.86,0,Intel Core i3,500.0,AMD,Windows,23373.0
HP,Notebook,14.0,4,1.44,0,Other Intel processor,32.0,Intel,Windows,12201.0
Lenovo,Notebook,15.6,4,1.9,1,Intel Core i5,1000.0,Intel,Windows,29251.0
Asus,Gaming,17.3,12,3.0,1,Intel Core i7,1000.0,Nvidia,MacOS,50563.0
Microsoft,Ultrabook,13.5,4,1.252,0,Intel Core i5,128.0,Intel,Windows,58022.0
Dell,Ultrabook,13.3,8,1.4,1,Intel Core i7,256.0,AMD,Windows,50882.0
Dell,Notebook,15.6,8,2.2,1,Intel Core i7,256.0,AMD,Windows,46354.0
MSI,Gaming,17.3,8,2.7,1,Intel Core i5,128.0,Nvidia,Windows,58342.0
Acer,Notebook,14.0,8,2.1,0,Intel Core i3,1000.0,Intel,Windows,20726.0
Asus,Gaming,15.6,8,2.2,1,Intel Core i7,1000.0,Nvidia,Windows,50563.0
Lenovo,Notebook,15.6,8,2.2,1,Intel Core i5,2000.0,Intel,MacOS,27652.0
Dell,Notebook,15.6,8,2.02,1,Intel Core i7,128.0,Intel,Windows,45554.0
Acer,Notebook,15.6,4,2.2,1,Intel Core i3,1000.0,Nvidia,Windows,28238.0
HP,Notebook,17.3,8,2.5,1,Intel Core i5,128.0,Nvidia,Windows,52055.0
Dell,Ultrabook,15.6,8,1.88,1,Intel Core i5,256.0,Intel,Windows,58403.0
Apple,Ultrabook,12.0,8,0.92,0,Intel Core i5,512.0,Intel,MacOS,80453.0
HP,Notebook,14.0,8,1.63,1,Intel Core i5,256.0,Intel,Windows,45821.0
Lenovo,Notebook,15.6,4,2.2,1,AMD,128.0,AMD,Windows,21259.0
Acer,Notebook,15.6,4,2.1,0,AMD,1000.0,AMD,Windows,21046.0
Dell,Gaming,15.6,16,2.65,1,Intel Core i7,128.0,Nvidia,Windows,71875.0
HP,Ultrabook,15.6,8,1.83,1,Intel Core i7,256.0,Nvidia,Windows,37243.0
HP,Notebook,15.6,8,1.96,1,Intel Core i5,256.0,Intel,Windows,31914.0
Asus,Gaming,15.6,16,2.2,1,Intel Core i7,128.0,Nvidia,Windows,77203.0
Dell,Ultrabook,13.3,8,1.21,1,Intel Core i7,256.0,Intel,Windows,87859.0
Asus,Gaming,15.6,8,2.45,1,AMD,1000.0,AMD,Windows,37243.0
Acer,Notebook,15.6,8,2.2,1,Intel Core i7,1000.0,Nvidia,Windows,36710.0
HP,Notebook,13.3,16,1.49,1,Intel Core i7,512.0,Intel,Windows,63776.0
Dell,Gaming,15.6,8,2.65,1,Intel Core i5,256.0,Nvidia,Windows,63670.0
Asus,Ultrabook,14.0,8,1.25,1,Intel Core i7,256.0,Intel,Windows,55891.0
Acer,2 in 1 Convertible,13.3,8,1.5,1,Intel Core i5,256.0,Intel,Windows,45128.0
Dell,Notebook,15.6,8,2.2,1,Intel Core i7,1000.0,AMD,MacOS,31963.0
Dell,Notebook,15.6,4,2.2,1,Intel Core i3,256.0,AMD,MacOS,25841.0
Asus,Notebook,15.6,6,2.0,1,Intel Core i3,256.0,Nvidia,Windows,30743.0
HP,Gaming,15.6,12,2.62,1,Intel Core i7,128.0,Nvidia,Windows,66547.0
HP,Notebook,15.6,8,1.91,1,Intel Core i7,256.0,AMD,Windows,38308.0
HP,Notebook,15.6,4,2.1,1,AMD,500.0,AMD,Windows,18595.0
Dell,Notebook,15.6,8,2.2,1,Intel Core i5,1000.0,AMD,MacOS,34472.0
HP,Ultrabook,13.3,8,1.38,1,Intel Core i7,256.0,Nvidia,Windows,59620.0
Microsoft,Ultrabook,13.5,8,1.252,0,Intel Core i5,256.0,Intel,Windows,71395.0
HP,Notebook,14.0,6,1.58,1,Intel Core i5,256.0,Nvidia,Windows,35112.0
Lenovo,Notebook,15.6,4,1.85,1,Intel Core i3,1000.0,Intel,Windows,22106.0
Asus,Ultrabook,14.0,8,1.3,1,Intel Core i7,256.0,Nvidia,Windows,63563.0
MSI,Gaming,15.6,16,2.2,1,Intel Core i7,256.0,Nvidia,Windows,69211.0
Lenovo,Notebook,14.0,8,1.58,1,Intel Core i7,256.0,Intel,Windows,78854.0
Asus,Ultrabook,15.6,16,1.5,1,Intel Core i7,256.0,Nvidia,Windows,67239.0
Dell,Ultrabook,13.3,8,1.23,1,Intel Core i7,256.0,Intel,Windows,73473.0
Lenovo,2 in 1 Convertible,13.3,8,1.37,1,Intel Core i5,256.0,Intel,Windows,74539.0
HP,Notebook,14.0,4,1.63,0,Intel Core i5,500.0,Intel,Windows,38468.0
Dell,Ultrabook,13.3,8,1.21,1,Intel Core i5,256.0,Intel,Windows,86793.0
HP,2 in 1 Convertible,13.3,8,1.26,1,Intel Core i5,256.0,Intel,Windows,74538.0
HP,Notebook,14.0,8,1.63,1,Intel Core i7,512.0,Intel,Windows,57756.0
Dell,Notebook,15.6,8,2.16,1,Intel Core i7,256.0,Nvidia,Windows,60224.0
Asus,Notebook,17.3,4,2.0,1,Intel Core i3,1000.0,Nvidia,Windows,30050.0
Asus,Notebook,15.6,8,1.7,1,Intel Core i7,256.0,Nvidia,Windows,59567.0
Acer,Notebook,15.6,6,2.1,1,Intel Core i3,1000.0,Intel,Windows,25521.0
MSI,Gaming,15.6,16,1.8,1,Intel Core i7,256.0,Nvidia,Windows,119427.0
Lenovo,Notebook,15.6,8,2.2,1,Intel Core i5,256.0,Nvidia,MacOS,33513.0
HP,Notebook,17.3,16,2.5,1,Intel Core i7,512.0,Nvidia,Windows,67719.0
Acer,Notebook,15.6,4,2.1,0,AMD,256.0,AMD,Windows,24029.0
HP,Notebook,15.6,4,1.86,0,Other Intel processor,500.0,Intel,MacOS,13800.0
HP,Notebook,14.0,8,1.63,1,Intel Core i5,1000.0,Intel,Windows,43263.0
Asus,Notebook,14.0,4,1.65,0,AMD,64.0,AMD,Windows,14811.0
Dell,Notebook,17.3,16,2.8,1,Intel Core i7,256.0,AMD,Windows,74379.0
HP,Notebook,17.3,8,2.5,1,Intel Core i5,256.0,Intel,Windows,49444.0
Dell,Notebook,15.6,8,2.36,0,Intel Core i5,1000.0,AMD,Windows,34045.0
Dell,Notebook,15.6,4,2.2,1,Intel Core i3,1000.0,AMD,Windows,23923.0
Acer,Ultrabook,14.0,8,1.6,1,Intel Core i7,256.0,Intel,Windows,47100.0
Acer,Notebook,15.6,4,2.2,1,Intel Core i3,256.0,Nvidia,Windows,30476.0
HP,Notebook,15.6,8,2.05,0,Intel Core i7,1000.0,Intel,Windows,31861.0
HP,Notebook,14.0,8,1.63,1,Intel Core i7,256.0,Intel,Windows,52641.0
Lenovo,Notebook,15.6,4,1.9,0,Other Intel processor,1000.0,Intel,MacOS,13446.0
Asus,Gaming,17.3,8,3.0,1,Intel Core i5,128.0,Nvidia,Windows,49977.0
Lenovo,Notebook,15.6,4,2.2,1,Intel Core i5,1000.0,Nvidia,MacOS,26587.0
HP,Notebook,13.3,4,1.32,1,Intel Core i5,256.0,Intel,Windows,37243.0
Acer,Notebook,17.3,4,3.0,1,Intel Core i3,1000.0,Nvidia,Windows,34898.0
Lenovo,Notebook,14.0,8,1.75,1,Intel Core i5,256.0,AMD,Windows,59462.0
Lenovo,Gaming,15.6,8,2.4,1,Intel Core i7,256.0,Nvidia,MacOS,46300.0
Toshiba,Notebook,15.6,4,2.1,0,Intel Core i5,500.0,Intel,Windows,32075.0
HP,Notebook,15.6,4,1.86,0,AMD,256.0,AMD,Windows,19660.0
Asus,Ultrabook,14.0,8,1.25,1,Intel Core i7,256.0,Intel,Windows,58555.0
HP,Ultrabook,12.5,8,0.97,1,Other Intel processor,512.0,Intel,Windows,107306.0
Asus,Notebook,15.6,4,2.0,1,Other Intel processor,1000.0,Intel,Windows,18328.0
MSI,Gaming,17.3,16,2.9,1,Intel Core i7,256.0,Nvidia,Windows,108105.0
Acer,Notebook,15.6,4,2.1,0,Intel Core i3,1000.0,Intel,Windows,23816.0
Dell,Gaming,15.6,16,2.56,1,Intel Core i7,512.0,Nvidia,Windows,66561.0
Dell,Gaming,15.6,8,2.62,1,Intel Core i7,1.0,Nvidia,Windows,47899.0
Lenovo,Notebook,15.6,4,1.9,0,Intel Core i5,128.0,Intel,Windows,26533.0
MSI,Gaming,17.3,16,2.8,1,Intel Core i7,256.0,Nvidia,Windows,100699.0
HP,Ultrabook,14.0,4,1.48,1,Intel Core i5,256.0,Intel,Windows,57649.0
HP,Notebook,15.6,6,1.91,1,Intel Core i5,256.0,AMD,Windows,32980.0
Lenovo,2 in 1 Convertible,14.0,4,1.74,1,Intel Core i3,256.0,Intel,Windows,33513.0
Asus,2 in 1 Convertible,13.3,8,1.1,1,Intel Core i5,256.0,Intel,Windows,70063.0
Dell,2 in 1 Convertible,15.6,8,1.56,1,Intel Core i7,256.0,Intel,Windows,55891.0
Toshiba,Notebook,15.6,4,2.1,0,Intel Core i3,500.0,Intel,Windows,23816.0
Asus,Notebook,15.6,4,2.03,0,AMD,1000.0,AMD,Windows,21472.0
Acer,Notebook,17.3,4,3.0,1,Intel Core i5,256.0,Nvidia,Windows,42890.0
Dell,Notebook,15.6,8,2.13,1,Intel Core i5,256.0,AMD,Windows,38788.0
Lenovo,Gaming,15.6,16,2.5,1,Intel Core i7,256.0,Nvidia,Windows,57489.0
Acer,Notebook,15.6,4,2.1,0,Other Intel processor,1000.0,Intel,Windows,18541.0
MSI,Gaming,15.6,16,2.4,1,Intel Core i7,256.0,Nvidia,Windows,95851.0
Acer,Notebook,15.6,4,2.1,0,Other Intel processor,1000.0,Intel,Windows,19368.0
Dell,Gaming,15.6,8,2.56,1,Intel Core i7,128.0,Nvidia,Windows,56503.0
Acer,Notebook,17.3,8,3.0,1,Intel Core i5,256.0,Nvidia,Windows,45501.0
HP,Notebook,13.3,4,1.49,1,Intel Core i5,500.0,Intel,Windows,40173.0
Huawei,Ultrabook,13.0,8,1.05,1,Intel Core i5,256.0,Intel,Windows,71875.0
HP,Notebook,17.3,6,2.71,1,Intel Core i5,2000.0,AMD,Windows,37243.0
Lenovo,Notebook,15.6,4,2.2,0,AMD,500.0,AMD,MacOS,16464.0
Toshiba,Notebook,15.6,4,2.0,0,Intel Core i3,500.0,Intel,Windows,26054.0
HP,Notebook,17.3,8,2.5,1,Intel Core i5,256.0,Nvidia,Windows,49177.0
Dell,Notebook,15.6,8,2.3,0,Intel Core i3,1000.0,Intel,Windows,24456.0
Acer,Notebook,15.6,4,2.1,0,Intel Core i3,128.0,Intel,Windows,23923.0
MSI,Gaming,18.4,32,4.4,1,Intel Core i7,512.0,Nvidia,Windows,149131.0
Lenovo,Notebook,15.6,8,1.9,1,Intel Core i5,128.0,AMD,Windows,43317.0
HP,2 in 1 Convertible,13.3,8,1.29,1,Intel Core i5,256.0,Intel,Windows,79867.0
Dell,Notebook,15.6,16,2.02,1,Intel Core i7,256.0,AMD,MacOS,55891.0
Dell,Ultrabook,13.3,8,1.23,1,Intel Core i5,256.0,Intel,Windows,74539.0
Lenovo,2 in 1 Convertible,13.9,16,1.4,1,Intel Core i7,512.0,Intel,Windows,98515.0
Toshiba,Notebook,15.6,8,2.0,0,Intel Core i5,128.0,Intel,Windows,42251.0
Xiaomi,Notebook,15.6,8,1.95,1,Intel Core i5,256.0,Nvidia,MacOS,63883.0
Dell,Notebook,17.3,16,2.77,1,Intel Core i7,512.0,Nvidia,Windows,82531.0
Dell,Notebook,15.6,16,2.06,1,Intel Core i7,512.0,Nvidia,Windows,127712.0
Lenovo,Gaming,15.6,8,2.4,1,Intel Core i5,256.0,Nvidia,MacOS,41505.0
Acer,Ultrabook,13.3,8,1.12,1,Intel Core i5,256.0,Intel,Windows,52694.0
Dell,Notebook,17.3,8,2.8,1,Intel Core i7,128.0,AMD,Windows,57809.0
Lenovo,2 in 1 Convertible,14.0,16,1.42,0,Intel Core i7,1000.0,Intel,Windows,150463.0
Vero,Notebook,14.0,4,1.3,1,Other Intel processor,32.0,Intel,Windows,13853.0
Xiaomi,Ultrabook,13.3,8,1.3,1,Intel Core i5,256.0,Nvidia,MacOS,53275.0
Lenovo,Notebook,17.3,8,2.8,0,Intel Core i5,256.0,Nvidia,MacOS,37189.0
Dell,2 in 1 Convertible,13.3,8,1.62,1,Intel Core i7,1000.0,Intel,Windows,44702.0
HP,Notebook,17.3,8,2.5,1,Intel Core i5,1000.0,Nvidia,Windows,48698.0
Razer,Gaming,17.3,32,3.49,1,Intel Core i7,1000.0,Nvidia,Windows,324955.0
HP,Notebook,13.3,8,1.49,1,Intel Core i5,512.0,Intel,Windows,51096.0
HP,Gaming,17.3,16,3.35,1,Intel Core i7,256.0,Nvidia,Windows,73473.0
HP,Notebook,17.3,8,2.5,1,Intel Core i7,256.0,Nvidia,Windows,55678.0
Dell,Gaming,15.6,16,2.65,1,Intel Core i7,512.0,Nvidia,Windows,98302.0
Lenovo,Notebook,15.6,4,2.1,0,Intel Core i5,128.0,Intel,Windows,26267.0
Acer,Notebook,15.6,8,2.23,1,Intel Core i7,1000.0,Nvidia,Windows,39534.0
Lenovo,Gaming,15.6,16,3.2,1,Intel Core i7,512.0,Nvidia,Windows,93187.0
Dell,Workstation,15.6,16,2.8,1,Other Intel processor,256.0,Nvidia,Windows,162770.0
Lenovo,Gaming,15.6,16,2.4,1,Intel Core i7,512.0,Nvidia,MacOS,74485.0
Dell,Notebook,15.6,6,2.3,0,Intel Core i3,1000.0,Intel,Windows,23390.0
Dell,Ultrabook,13.3,8,1.21,1,Intel Core i7,256.0,Intel,Windows,103843.0
Dell,Ultrabook,13.3,8,1.2,1,Intel Core i7,256.0,Intel,Windows,77203.0
Lenovo,Notebook,15.6,8,2.2,0,Intel Core i5,256.0,Intel,Windows,31808.0
Acer,Notebook,15.6,8,2.4,1,Intel Core i7,1000.0,Nvidia,MacOS,41505.0
Asus,Gaming,17.3,16,2.9,1,Intel Core i7,256.0,Nvidia,Windows,74965.0
HP,Notebook,15.6,4,2.1,1,Intel Core i3,500.0,Intel,MacOS,18595.0
Lenovo,Notebook,15.6,8,2.2,1,Intel Core i5,256.0,Intel,MacOS,29251.0
Huawei,Ultrabook,13.0,8,1.05,1,Intel Core i7,512.0,Intel,Windows,79867.0
Dell,Ultrabook,13.3,8,1.4,1,Intel Core i7,256.0,AMD,Windows,49651.0
Lenovo,Notebook,17.3,8,2.8,0,Intel Core i5,1000.0,Nvidia,MacOS,31382.0
HP,Notebook,14.0,8,1.63,1,Intel Core i7,256.0,Nvidia,Windows,54932.0
Dell,Ultrabook,14.0,8,1.6,1,Intel Core i5,256.0,Intel,Windows,61219.0
Dell,2 in 1 Convertible,13.3,16,1.62,1,Intel Core i7,512.0,Intel,Windows,68145.0
Dell,Notebook,15.6,8,2.2,1,Intel Core i5,256.0,AMD,MacOS,36089.0
Lenovo,2 in 1 Convertible,14.0,8,1.74,1,Intel Core i5,256.0,Intel,Windows,47899.0
Toshiba,Ultrabook,13.3,8,1.2,1,Intel Core i7,256.0,Intel,Windows,72621.0
HP,Notebook,15.6,8,2.1,1,Intel Core i5,1000.0,Intel,Windows,42304.0
Dell,Gaming,17.3,16,4.42,1,Intel Core i7,256.0,Nvidia,Windows,130874.0
Acer,Notebook,15.6,8,2.2,1,Intel Core i7,256.0,Nvidia,Windows,44329.0
Dell,Notebook,15.6,16,2.3,1,Intel Core i7,1000.0,AMD,Windows,45768.0
Asus,Notebook,15.6,8,2.0,1,Intel Core i5,256.0,Nvidia,Windows,40972.0
Asus,Notebook,17.3,8,2.69,1,Intel Core i5,256.0,Nvidia,Windows,47472.0
HP,Notebook,15.6,8,1.9,1,Intel Core i7,1000.0,AMD,Windows,67612.0
Asus,Notebook,15.6,4,2.37,0,Intel Core i3,1000.0,Intel,Windows,21258.0
HP,Notebook,15.6,4,2.1,0,AMD,500.0,AMD,Windows,17582.0
Lenovo,Gaming,15.6,16,3.2,1,Intel Core i7,256.0,Nvidia,Windows,79867.0
Dell,Notebook,14.0,8,1.6,1,Intel Core i5,256.0,Intel,Windows,45768.0
Acer,2 in 1 Convertible,13.3,8,1.6,1,Intel Core i5,256.0,Intel,Windows,36710.0
Dell,Notebook,15.6,16,2.36,1,Intel Core i7,256.0,AMD,MacOS,47899.0
Acer,Notebook,15.6,4,2.1,0,Intel Core i3,1000.0,Intel,MacOS,20779.0
Asus,Notebook,15.6,4,2.2,1,AMD,128.0,AMD,Windows,30636.0
Asus,Gaming,17.3,32,4.7,1,Intel Core i7,512.0,Nvidia,Windows,207259.0
Acer,Gaming,15.6,8,2.5,1,Intel Core i5,256.0,Nvidia,Windows,45075.0
Lenovo,Notebook,15.6,8,2.2,0,Intel Core i3,128.0,Intel,Windows,31382.0
Asus,Notebook,17.3,8,2.1,1,Intel Core i7,128.0,Nvidia,Windows,61006.0
Asus,Notebook,17.3,8,2.69,1,Intel Core i7,128.0,Nvidia,MacOS,47366.0
Dell,Gaming,15.6,8,2.56,1,Intel Core i5,256.0,Nvidia,Windows,46833.0
Lenovo,2 in 1 Convertible,13.9,8,1.38,1,Intel Core i7,256.0,Intel,Windows,57489.0
Dell,Notebook,15.6,8,2.2,1,Intel Core i7,128.0,AMD,Windows,52481.0
HP,Notebook,15.6,8,2.04,0,Intel Core i5,1000.0,Intel,Windows,29784.0
Asus,Gaming,17.3,16,3.6,1,Intel Core i7,256.0,Nvidia,Windows,159787.0
HP,Notebook,13.3,4,1.49,1,Intel Core i5,500.0,Intel,Windows,35964.0
Apple,Ultrabook,13.3,8,1.37,0,Intel Core i5,512.0,Intel,MacOS,108691.0
Dell,2 in 1 Convertible,15.6,8,2.08,1,Intel Core i7,1000.0,Intel,Windows,43636.0
Asus,Gaming,17.3,16,4.3,1,Intel Core i7,256.0,Nvidia,Windows,95851.0
Asus,Notebook,15.6,4,1.68,0,AMD,1000.0,AMD,Windows,24988.0
Lenovo,2 in 1 Convertible,13.9,8,1.37,1,Intel Core i7,512.0,Intel,Windows,98515.0
Acer,Notebook,17.3,4,3.0,1,Intel Core i3,256.0,Nvidia,Windows,37403.0
Dell,Ultrabook,13.3,8,1.41,1,Intel Core i5,256.0,Intel,Windows,50563.0
HP,Notebook,15.6,8,1.91,0,AMD,128.0,AMD,Windows,23758.0
HP,Notebook,17.3,16,2.9,1,Intel Core i7,1000.0,Nvidia,Windows,56424.0
MSI,Gaming,17.3,16,4.14,1,Intel Core i7,512.0,Nvidia,Windows,133147.0
Lenovo,2 in 1 Convertible,15.6,8,2.0,1,Intel Core i7,512.0,Nvidia,Windows,90523.0
Dell,Notebook,17.3,8,2.8,1,Intel Core i7,128.0,AMD,Windows,60846.0
Lenovo,Notebook,15.6,4,2.2,1,Intel Core i3,256.0,Intel,MacOS,23656.0
HP,Notebook,15.6,4,2.1,1,Intel Core i5,500.0,Intel,Windows,38468.0
Dell,Notebook,15.6,4,2.18,1,Intel Core i5,1000.0,Intel,Windows,35005.0
